Segment,Prospect,HQ / Market,Company Type,Target Role,Why Relevant,Approach Angle,Official Website,Contact Name,LinkedIn,Contact Email,First Contact Date,Channel,Status,First API Call,Second API Call,Paid Conversion,Notes
Logistics / Supply Chain,Flexport,USA,Digital freight forwarding,Product / Data Partnerships,Large digital freight platform; port congestion and ETA risk are directly relevant to shipment planning and exception management.,Port-risk data feed,https://www.flexport.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Kuehne+Nagel,Switzerland,Global logistics,Digital / Data / Visibility,Large global forwarding network with ocean logistics exposure; potential enterprise validation target for port-risk intelligence.,Port disruption intelligence,https://home.kuehne-nagel.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,DSV,Denmark,Global logistics,Digital Solutions / Data,Global forwarding and supply-chain operations make ocean-port disruption a relevant data layer.,Ocean disruption signal,https://www.dsv.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,DHL Global Forwarding,Germany,Global forwarding,Digital / Data Partnerships,Large international forwarding network; port congestion and ETA risk can support exception-management workflows.,Port risk for ocean freight,https://www.dhl.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,CEVA Logistics,France,Global logistics,Digital / Innovation / Data,Global ocean forwarding and logistics network; relevant for testing external port-risk signals.,Port congestion intelligence,https://www.cevalogistics.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Expeditors,USA,Global logistics,Technology / Product / Ocean,Large international logistics operator; potential use in ocean exception management and customer visibility.,Port-risk feed,https://www.expeditors.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Nippon Express,Japan,Global logistics,Digital / Innovation,Large global forwarding network with ocean freight exposure; candidate for operational validation.,Port delay intelligence,https://www.nipponexpress.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Hellmann Worldwide Logistics,Germany,Global logistics,Digital Solutions / Ocean,International forwarding business with technology and visibility needs; suitable for port-risk enrichment.,Ocean disruption API,https://www.hellmann.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Rhenus Logistics,Germany,Global logistics,Digital / Innovation / Ocean,Global logistics provider; port congestion can be used as an external risk layer for ocean movements.,Port-risk enrichment,https://www.rhenus.group/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Bolloré Logistics / CEVA,France,International logistics,Digital / Data,Large freight network with ocean exposure; candidate for a focused API pilot around selected ports.,Port congestion pilot,https://www.cevalogistics.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Portcast,Singapore,Predictive ETA / freight intelligence,Founder / Product / Data Partnerships,Direct overlap: Portcast explicitly models predictive ETA and explains port-congestion impact; ideal for a signal-layer partnership or benchmark.,Benchmark / signal enrichment,https://www.portcast.io/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Kpler,France,Commodity + maritime intelligence,Product / Data Partnerships,"Tracks vessels, cargo, ETAs and port calls and provides APIs; Aether-X adds a port-level congestion/risk abstraction.",Port congestion signal,https://www.kpler.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Vortexa,UK,Energy / shipping analytics,Product / Data Partnerships,Combines maritime movement and commodity intelligence; port delays can add physical-flow context to energy analytics.,Physical-flow congestion signal,https://www.vortexa.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Windward,Israel / UK,Maritime AI,Product / Data Partnerships,AI-driven maritime intelligence using multiple data sources; Aether-X offers a different derived signal at the port level.,Port-risk feature/feed,https://windward.ai/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Spire Maritime,USA / Canada,AIS / maritime APIs,Product / Partnerships,"Developer-focused maritime APIs already expose AIS, routing and port-event data; natural API-to-API integration prospect.",Derived congestion layer,https://spire.com/maritime/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Lloyd's List Intelligence,UK,Maritime data / APIs,API Product / Partnerships,"Provides maritime APIs spanning vessel movements, risk, cargo and port intelligence; strong data-distribution prospect.",Port-risk enrichment,https://www.lloydslistintelligence.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Signal Ocean,UK / Greece,Maritime data / analytics,Product / Data Partnerships,Maritime analytics platform focused on shipping markets; port congestion is a natural physical-market signal.,Port congestion signal,https://www.thesignalgroup.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Veson Nautical,USA,Maritime commercial platform,Product / Data Partnerships,Commercial maritime software serving shipping workflows; port delay and ETA risk can affect voyage economics.,Port-delay intelligence,https://veson.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Pole Star Global,UK,Maritime intelligence / compliance,Product / Data,Global maritime intelligence provider; port-risk signal can complement vessel and voyage intelligence.,Port disruption layer,https://www.polestarglobal.com/,,,,,LinkedIn / Email,Not contacted,,,,
Maritime / Port Intelligence,Oceanbolt / DNV,Norway,Maritime analytics,Product / Data Partnerships,Maritime trade analytics and vessel-flow intelligence; Aether-X can provide a compact port-congestion signal for analytics workflows.,Port congestion feature,https://www.dnv.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Cargill,USA,Agricultural commodities / trading,Quant / Market Intelligence / Risk,"Large physical commodity business where shipping, ports and logistics affect physical flows and commercial decisions.",Physical logistics signal,https://www.cargill.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,ADM,USA,Agricultural commodities / shipping,Trading Analytics / Risk / Freight,"ADM explicitly manages physical commodity logistics, shipping, port/storage operations and freight risk.",Port congestion + freight risk,https://www.adm.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Bunge,USA / Brazil,Agricultural commodities / logistics,Trading / Risk / Logistics Analytics,Bunge operates a global logistics network and port terminals and is deeply exposed to Brazilian agricultural export flows.,Brazil port-risk signal,https://www.bunge.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Louis Dreyfus Company,Netherlands / Brazil,Agricultural commodities / freight,Global Markets / Freight / Risk,"LDC spans agricultural commodities, freight and global markets; port delay can affect physical-flow timing and economics.",Physical-flow signal,https://www.ldc.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,COFCO International,China / Switzerland,Agricultural commodities,Trading / Freight / Risk,Global agricultural commodity merchant with significant Brazil-China flows; port congestion is directly relevant to export logistics.,Brazil-China port signal,https://www.cofcointernational.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Olam Agri,Singapore,Agricultural commodities,Trading / Risk / Supply Chain,Global agri-commodity merchant with physical supply-chain exposure; candidate for congestion-driven flow analysis.,Port-risk signal,https://www.olamagri.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Viterra,Netherlands / Canada,Agricultural commodities / logistics,Trading / Logistics / Risk,Global agricultural supply-chain and logistics business; port bottlenecks can affect physical flows and delivery timing.,Port congestion signal,https://www.viterra.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Gunvor,Switzerland / Singapore,Energy trading,Trading Analytics / Freight / Risk,Physical energy trading depends on maritime movement and logistics; congestion is a potential short-horizon physical signal.,Port / shipping risk,https://www.gunvorgroup.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Trafigura,Singapore / Switzerland,Commodity trading,Trading / Freight / Data,Global physical commodities trader with substantial shipping and logistics exposure; relevant for event-driven physical signals.,Port disruption signal,https://www.trafigura.com/,,,,,LinkedIn / Email,Not contacted,,,,
Quant / Finance / Commodities,Mercuria,Switzerland,Commodity trading,Quant / Risk / Shipping,Global commodity trader with physical logistics and shipping exposure; candidate for testing port-risk as a market input.,Physical-market signal,https://mercuria.com/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,OpenRouter,USA,LLM API / model routing,Product / Ecosystem Partnerships,API-first AI infrastructure; Aether-X MCP/API can be positioned as a physical-world data tool for agent workflows.,AI-agent tool discovery,https://openrouter.ai/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,Smithery,USA,MCP registry / developer platform,Ecosystem / Partnerships,"MCP discovery platform; Aether-X is already listed there, making it a direct distribution and ecosystem relationship.",MCP distribution,https://smithery.ai/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,Glama,USA / Global,MCP directory / platform,Ecosystem / Partnerships,MCP directory/platform with Aether-X already discoverable; useful for improving agent discovery and usage.,MCP distribution,https://glama.ai/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,Composio,USA / India,Agent integrations / tools,Product / Partnerships,Agent tool infrastructure; port-risk tools can become a specialized external data capability for agents.,Agent tool integration,https://composio.dev/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,Pipedream,USA,API / workflow infrastructure,Developer Platform / Partnerships,API and workflow infrastructure serving developers; Aether-X fits as a specialized data API/MCP capability.,API/MCP integration,https://pipedream.com/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,StackOne,UK,MCP / agent infrastructure,Product / Partnerships,MCP gateway/integration infrastructure; useful channel for exposing a physical-world intelligence tool to enterprise agents.,MCP ecosystem,https://stackone.com/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,LlamaIndex,USA,LLM data / agent framework,Developer Relations / Integrations,Agent/data framework where external structured signals can be consumed as tools or data sources.,Agent data connector,https://www.llamaindex.ai/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,LangChain,USA,LLM / agent framework,Developer Relations / Integrations,Large developer ecosystem for agent applications; Aether-X can serve as a concrete physical-world tool/API example.,Agent tool integration,https://www.langchain.com/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,CrewAI,USA / Brazil,Multi-agent framework,Developer Relations / Integrations,Agent orchestration framework; port-risk intelligence is a clear tool for logistics and trade agents.,Agent tool / MCP,https://www.crewai.com/,,,,,LinkedIn / Email,Not contacted,,,,
AI / DevTools / Agents,PydanticAI,Global,Python agent framework,Developer Relations / Integrations,Python-first agent framework aligns directly with the published Aether-X Python SDK and structured API responses.,Python agent integration,https://ai.pydantic.dev/,,,,,LinkedIn / Email,Not contacted,,,,
